,id,gb
0,5244,1
1,5245,0
2,5246,1
3,5247,0
4,5248,1
5,5249,0
6,5250,1
7,5251,1
8,5252,1
9,5253,1
10,5254,1
11,5255,1
12,5256,1
13,5257,1
14,5258,0
15,5259,1
16,5260,1
17,5261,1
18,5262,1
19,5263,1
20,5264,1
21,5265,0
22,5266,1
23,5267,0
24,5268,1
25,5269,0
26,5270,1
27,5271,0
28,5272,1
29,5273,0
30,5274,1
31,5275,1
32,5276,0
33,5277,1
34,5278,1
35,5279,0
36,5280,0
37,5281,1
38,5282,0
39,5283,1
40,5284,1
41,5285,1
42,5286,1
43,5287,1
44,5288,0
45,5289,0
46,5290,1
47,5291,1
48,5292,0
49,5293,0
50,5294,0
51,5295,0
52,5296,0
53,5297,0
54,5298,0
55,5299,1
56,5300,0
57,5301,1
58,5302,0
59,5303,0
60,5304,0
61,5305,0
62,5306,0
63,5307,0
64,5308,0
65,5309,1
66,5310,0
67,5311,1
68,5312,1
69,5313,0
70,5314,1
71,5315,0
72,5316,0
73,5317,1
74,5318,1
75,5319,1
76,5320,0
77,5321,0
78,5322,1
79,5323,1
80,5324,1
81,5325,0
82,5326,0
83,5327,0
84,5328,1
85,5329,1
86,5330,0
87,5331,1
88,5332,0
89,5333,0
90,5334,0
91,5335,1
92,5336,1
93,5337,0
94,5338,1
95,5339,1
96,5340,0
97,5341,0
98,5342,1
99,5343,0
100,5344,0
101,5345,0
102,5346,0
103,5347,0
104,5348,1
105,5349,0
106,5350,0
107,5351,1
108,5352,0
109,5353,0
110,5354,0
111,5355,1
112,5356,1
113,5357,1
114,5358,0
115,5359,1
116,5360,1
117,5361,0
118,5362,0
119,5363,0
120,5364,0
121,5365,1
122,5366,0
123,5367,0
124,5368,0
125,5369,1
126,5370,0
127,5371,1
128,5372,0
129,5373,0
130,5374,1
131,5375,0
132,5376,0
133,5377,0
134,5378,1
135,5379,1
136,5380,1
137,5381,0
138,5382,1
139,5383,0
140,5384,1
141,5385,0
142,5386,0
143,5387,1
144,5388,0
145,5389,0
146,5390,0
147,5391,0
148,5392,0
149,5393,0
150,5394,0
151,5395,0
152,5396,0
153,5397,0
154,5398,0
155,5399,1
156,5400,1
157,5401,0
158,5402,0
159,5403,0
160,5404,0
161,5405,0
162,5406,0
163,5407,1
164,5408,1
165,5409,0
166,5410,1
167,5411,1
168,5412,1
169,5413,0
170,5414,1
171,5415,1
172,5416,1
173,5417,0
174,5418,1
175,5419,0
176,5420,0
177,5421,0
178,5422,1
179,5423,1
180,5424,0
181,5425,0
182,5426,0
183,5427,0
184,5428,0
185,5429,0
186,5430,0
187,5431,0
188,5432,0
189,5433,0
190,5434,1
191,5435,1
192,5436,1
193,5437,1
194,5438,0
195,5439,0
196,5440,0
197,5441,0
198,5442,1
199,5443,0
200,5444,0
201,5445,0
202,5446,0
203,5447,1
204,5448,1
205,5449,0
206,5450,0
207,5451,0
208,5452,0
209,5453,1
210,5454,0
211,5455,1
212,5456,1
213,5457,0
214,5458,0
215,5459,1
216,5460,1
217,5461,1
218,5462,1
219,5463,1
220,5464,0
221,5465,1
222,5466,1
223,5467,1
224,5468,0
225,5469,1
226,5470,0
227,5471,1
228,5472,1
229,5473,1
230,5474,1
231,5475,1
232,5476,1
233,5477,0
234,5478,1
235,5479,1
236,5480,1
237,5481,0
238,5482,1
239,5483,0
240,5484,0
241,5485,1
242,5486,1
243,5487,1
244,5488,0
245,5489,0
246,5490,1
247,5491,1
248,5492,0
249,5493,0
250,5494,0
251,5495,0
252,5496,1
253,5497,1
254,5498,0
255,5499,1
256,5500,0
257,5501,0
258,5502,0
259,5503,0
260,5504,0
261,5505,0
262,5506,1
263,5507,1
264,5508,0
265,5509,0
266,5510,1
267,5511,1
268,5512,1
269,5513,0
270,5514,0
271,5515,0
272,5516,0
273,5517,0
274,5518,1
275,5519,0
276,5520,1
277,5521,1
278,5522,0
279,5523,1
280,5524,0
281,5525,1
282,5526,0
283,5527,1
284,5528,0
285,5529,0
286,5530,1
287,5531,1
288,5532,1
289,5533,0
290,5534,1
291,5535,1
292,5536,0
293,5537,1
294,5538,0
295,5539,0
296,5540,0
297,5541,0
298,5542,0
299,5543,1
300,5544,0
301,5545,0
302,5546,1
303,5547,1
304,5548,1
305,5549,0
306,5550,1
307,5551,0
308,5552,1
309,5553,0
310,5554,0
311,5555,1
312,5556,1
313,5557,1
314,5558,0
315,5559,0
316,5560,1
317,5561,1
318,5562,0
319,5563,1
320,5564,1
321,5565,0
322,5566,0
323,5567,0
324,5568,0
325,5569,0
326,5570,0
327,5571,1
328,5572,1
329,5573,0
330,5574,1
331,5575,0
332,5576,0
333,5577,1
334,5578,0
335,5579,1
336,5580,1
337,5581,0
338,5582,0
339,5583,0
340,5584,1
341,5585,1
342,5586,1
343,5587,1
344,5588,0
345,5589,0
346,5590,1
347,5591,0
348,5592,1
349,5593,1
350,5594,1
351,5595,1
352,5596,0
353,5597,0
354,5598,1
355,5599,1
356,5600,0
357,5601,0
358,5602,0
359,5603,1
360,5604,0
361,5605,1
362,5606,0
363,5607,0
364,5608,1
365,5609,1
366,5610,1
367,5611,0
368,5612,0
369,5613,0
370,5614,0
371,5615,1
372,5616,1
373,5617,1
374,5618,1
375,5619,0
376,5620,1
377,5621,1
378,5622,0
379,5623,1
380,5624,0
381,5625,1
382,5626,0
383,5627,1
384,5628,1
385,5629,0
386,5630,1
387,5631,1
388,5632,1
389,5633,0
390,5634,1
391,5635,1
392,5636,0
393,5637,0
394,5638,0
395,5639,0
396,5640,0
397,5641,1
398,5642,1
399,5643,0
400,5644,1
401,5645,1
402,5646,0
403,5647,1
404,5648,0
405,5649,0
406,5650,1
407,5651,1
408,5652,0
409,5653,1
410,5654,0
411,5655,0
412,5656,1
413,5657,0
414,5658,0
415,5659,0
416,5660,1
417,5661,0
418,5662,0
419,5663,1
420,5664,0
421,5665,0
422,5666,1
423,5667,1
424,5668,0
425,5669,1
426,5670,1
427,5671,1
428,5672,1
429,5673,1
430,5674,1
431,5675,0
432,5676,0
433,5677,0
434,5678,1
435,5679,1
436,5680,0
437,5681,1
438,5682,1
439,5683,1
440,5684,1
441,5685,1
442,5686,1
443,5687,1
444,5688,1
445,5689,1
446,5690,0
447,5691,0
448,5692,1
449,5693,0
450,5694,0
451,5695,0
452,5696,0
453,5697,1
454,5698,1
455,5699,1
456,5700,0
457,5701,1
458,5702,1
459,5703,1
460,5704,0
461,5705,1
462,5706,0
463,5707,1
464,5708,1
465,5709,1
466,5710,1
467,5711,1
468,5712,0
469,5713,1
470,5714,0
471,5715,0
472,5716,0
473,5717,1
474,5718,0
475,5719,0
476,5720,0
477,5721,1
478,5722,0
479,5723,1
480,5724,0
481,5725,0
482,5726,1
483,5727,1
484,5728,1
485,5729,1
486,5730,0
487,5731,0
488,5732,0
489,5733,1
490,5734,1
491,5735,0
492,5736,0
493,5737,0
494,5738,1
495,5739,1
496,5740,1
497,5741,1
498,5742,0
499,5743,0
500,5744,0
501,5745,1
502,5746,0
503,5747,0
504,5748,1
505,5749,0
506,5750,0
507,5751,1
508,5752,0
509,5753,1
510,5754,1
511,5755,0
512,5756,0
513,5757,0
514,5758,1
515,5759,1
516,5760,1
517,5761,0
518,5762,0
519,5763,1
520,5764,1
521,5765,1
522,5766,0
523,5767,1
524,5768,0
525,5769,0
526,5770,1
527,5771,0
528,5772,1
529,5773,0
530,5774,0
531,5775,0
532,5776,0
533,5777,1
534,5778,0
535,5779,1
536,5780,1
537,5781,0
538,5782,0
539,5783,0
540,5784,0
541,5785,0
542,5786,0
543,5787,1
544,5788,0
545,5789,1
546,5790,0
547,5791,0
548,5792,1
549,5793,0
550,5794,0
551,5795,0
552,5796,0
553,5797,0
554,5798,0
555,5799,0
556,5800,1
557,5801,1
558,5802,1
559,5803,0
560,5804,0
561,5805,0
562,5806,0
563,5807,1
564,5808,1
565,5809,1
566,5810,1
567,5811,1
568,5812,0
569,5813,0
570,5814,0
571,5815,0
572,5816,0
573,5817,0
574,5818,0
575,5819,1
576,5820,0
577,5821,0
578,5822,1
579,5823,0
580,5824,0
581,5825,0
582,5826,0
583,5827,0
584,5828,0
585,5829,1
586,5830,0
587,5831,1
588,5832,0
589,5833,1
590,5834,1
591,5835,0
592,5836,1
593,5837,1
594,5838,1
595,5839,1
596,5840,0
597,5841,1
598,5842,0
599,5843,1
600,5844,0
601,5845,0
602,5846,0
603,5847,0
604,5848,0
605,5849,1
606,5850,0
607,5851,1
608,5852,0
609,5853,0
610,5854,0
611,5855,0
612,5856,1
613,5857,1
614,5858,1
